1990,1995,2000,2005,2010,2015,2020
2.7,3.5,6.5,3.7,3.6,3.2,2.9
0.0,-0.32,-0.1,-0.3,-0.4,-0.4,-0.4
1.2,3.4,3.2,2.5,3.2,2.5,1.3
4.3,6.6,1.8,3.9799999999999995,0.1,4.8,6.6
-0.8,-0.9,-1.1,-1.3,-0.86,-0.8,-0.2
-8.4,-3.0599999999999996,-16.4,0.6,-0.4,1.9,-1.0
-4.0,-3.8,-3.6,-3.2,-3.3400000000000007,-2.9,-3.2
-7.6,-5.180000000000001,-6.0,-6.6,-5.5,-4.5,-3.3
-7.1,-3.2,-14.7,-0.7,0.7,-1.5,0.2
-5.8,-4.0,-2.7,-3.8,-5.7,-2.8,-2.5
3.1,-20.9,-6.8,19.6,2.0,-0.6,-0.6
0.9,2.1,1.0,4.2,5.5,4.7,4.2
10.4,8.7,12.7,14.8,18.9,17.0,12.4
-2.4,0.8,-4.1,-6.2,-7.4,-15.1,1.5
7.9,3.5,4.7,3.1,2.8,-7.1,1.3
-22.8,-23.0,-17.4,-15.8,-15.2,-25.4,-7.7
-1.9,8.3,6.1,-0.6,-4.3,-2.0,-1.9
-3.7,-3.0,-2.0,-1.9,-1.0,-0.4,-0.3
0.9,-41.9,36.2,-1.7,-1.7,-2.0,-0.7
3.0,3.4,2.7,0.2,-1.2,-0.4,0.0
0.1,-0.3,1.8,4.7,1.4,1.5,0.1
0.6,-0.13999999999999993,0.1,2.0,-3.3,0.1,0.4
-9.4,24.6,-1.6,25.8,-1.1,41.5,-4.5
0.3,-1.8,0.7,-0.9,-0.4,-0.7,-1.1
-17.1,-3.5,-2.7,-4.4,-4.7,-3.2,-2.5
-0.3,1.6,4.6,13.7,10.0,-2.2,0.9
1.0,0.4,0.7,3.1,1.4,1.3,0.6
-11.8,-22.3,0.0,0.0,-3.6,-3.6,-2.7
0.0,0.0,0.0,0.0,0.0,0.0,0.1
3.5,5.6,-0.5,-0.4,-0.1,0.8,0.3
9.8,-1.3,-3.6,6.7,8.4,11.7,4.1
-13.6,-16.2,-14.8,-9.8,-10.5,-5.4,-1.8
-0.8,0.1,0.7,1.0,1.3,1.5,2.7
-0.6,-0.2,-1.4,0.2,-0.41999999999999993,-0.4,-0.3
4.7,8.540000000000001,11.8,11.7,11.0,4.0,4.2
-0.0,0.5,-1.0,2.2199999999999998,3.6,5.5,2.5
-0.8,-0.5,-0.6,-0.2,-0.7,-0.6,-0.4
5.8,-3.0,-0.7,-0.1,-1.6,-1.3,-0.7
0.7,1.9,0.9,1.2,2.2,3.0,2.5
-0.6,-5.3,-5.4,-9.4,-7.3,-7.7,-7.4
-2.0,-1.4,-1.2999999999999998,-1.8,-1.4,-1.1,-0.8
0.0,0.0,-18.9,-5.9,-7.3,-4.9,-4.3
-6.1,-5.8,-7.2,-4.4,-2.4,-0.9,-0.8
-1.4,-0.6,-0.1,-0.06,-0.3,0.4,0.3
-31.0,-8.6,-7.8,-6.8,-6.7,-1.9,-1.8
,-1.0,-1.7,-4.4,3.7,-54.7,-24.1
-0.4,2.5,-0.1,0.03999999999999996,-1.1,-0.9,-0.2
-0.4,-0.3,-1.2,-1.8,-0.6,-0.5,2.1
-0.4,-0.4,-0.3,-0.1,-0.1,4.7,3.5
-4.1,3.0,4.8,-1.4200000000000002,-5.4,-7.3,-2.2
-2.1,-0.059999999999999984,-0.2,-0.2,-0.3,0.2,0.2
1.0,-0.6,-0.7,-0.7,-0.6,0.1,0.1
-9.8,-6.6,-7.0,-3.12,-0.2,-1.0,-0.8
-0.5,-1.2,0.48,-0.1,1.3,1.5,0.9
0.5,-0.8,0.7,2.0,7.8,-1.3,1.1
-2.5,-2.5,-4.5,-2.6,-2.5,-1.8,-1.7
-4.6,-4.6,-4.8,-4.3,-1.0,-0.7,-0.5
0.2,1.8,3.4,3.1,4.6,-2.6,-0.8
32.1,34.7,35.9,61.6,109.4,6.1,4.2
-4.6,-3.1,-2.8,0.9,1.2,0.2,0.1
0.0,-2.7,-5.3,-5.3,-3.7,-3.5,-2.1
3.1,18.6,8.7,7.380000000000001,7.9,0.5,1.2
2.5,-0.9,-1.6,-1.9,-3.3,-1.7,4.0
12.5,-70.8,26.5,7.1800000000000015,36.4,34.0,9.8
-6.0,3.3,1.7,-1.3,-6.0,-17.8,-8.6
8.0,5.3,3.1799999999999997,1.9,2.6,2.1,4.0
2.0,-14.9,-0.2,-2.7,-2.3,-3.4200000000000004,3.0
5.6,28.28,12.8,40.0,51.1,6.4,31.1
-1.7,-1.9,-4.9,-3.9,-3.7,-3.1,-1.3
-3.9,-29.4,-14.2,-10.6,-12.5,-2.1,-1.7
1.3,10.4,-17.3,1.3,19.2,48.5,18.6
-0.2,-0.2,-0.2,-0.3,-0.4,-0.28,-0.3
3.2,-9.0,-3.8,-6.3,-7.9,-8.1,-7.6
-1.6,-2.9,-5.0,-4.7,-5.2,-4.7,-4.6
-20.8,9.0,1.7000000000000004,0.3,-0.4,-0.2,-0.2
0.0,1.7,-0.1,0.1,-1.0,-0.2,-0.2
1.3,2.5,2.8,1.7,3.2,3.8,2.6
-4.2,-4.1,-3.6,-0.7,0.6,1.3,1.1
-6.1,-2.96,-1.1,-6.9,-2.9,-3.3,-0.6
-7.9,-1.6,-0.6599999999999999,-2.1,-7.8,8.0,0.2
0.0,-7.9,-4.5,-2.7600000000000007,-0.8,-0.3,-0.3
-0.7,4.4,3.0,3.4,3.5,3.5,2.5
-10.1,-9.7,-11.4,-10.5,-9.120000000000001,-7.7,-6.3
0.2,-0.9,-0.9,-2.7,1.1,-0.1,-0.1
0.8,0.44000000000000006,0.7,0.3,-0.6,1.6,0.2
-4.1,-8.3,-3.3,-2.2,-2.2,-0.7,-0.7
-5.2,-1.2,-8.4,-2.6,-2.9,1.4,0.4
-0.5,0.1,-0.2,0.3,0.4,0.6,0.6
-18.6,-9.0,-9.8,-14.4,-5.6,-12.0,-7.0
1.9,2.5,2.3,1.8,0.8,0.7,0.9
-0.0,-27.7,-11.5,-11.4,-14.4,-9.4,-4.9
,0.5,-0.7,0.2,-1.9,-1.6,-1.4
-1.6,-0.8,-0.4,-1.0,-0.9,-1.7,-0.8
-4.9,-4.1,-2.7,-2.3,-0.2,-0.3,-0.3
1.9,-2.1,2.3,1.2,0.2,0.5,0.3
0.1,0.6,0.9,0.9,4.8,1.1,2.1
-2.0,-1.3,-1.6,-6.3,-3.0,-1.8,-0.9
-2.5,-2.6,-0.8,11.6,10.5,28.4,22.8
0.3,0.2,-2.2,-0.7,-4.0,-9.5,-0.3
0.0,0.3,-1.9,-0.7,1.2,0.6,0.2
-0.6,3.7,-10.2,-5.9,-2.6,0.7,0.5
-24.2,-16.8,-19.9,-17.7,-16.5,-12.8,-14.3
1.6,5.8,-4.7,-3.8,-6.0,-2.9,-1.2
-2.0,-3.5,0.4,-2.7,-2.7,-0.7,-0.5
-0.9,-1.4,-1.7,-1.7,-3.9,-2.7,-2.4
-1.0,-1.1,-0.6,-1.6,-1.0,-0.9,-0.8
0.7,0.9,3.3,2.8,2.8,2.38,2.1
-1.7,-4.5,-5.2,-4.3,-7.4,-3.0,-3.8
-6.9,-1.0,-1.5,-3.2,-2.0,-1.9,0.0
-5.0,-0.9,-3.8,-16.0,-9.3,-4.7,-4.8
-0.1,-0.1,-0.1,-0.3,-0.3,-0.2,-0.2
8.0,4.0,4.2,6.0,11.4,8.6,6.4
-4.2,-3.3,-23.8,-23.0,-23.5,-5.7,-5.4
-12.4,-8.9,-7.2,-6.8,-6.3,-4.0,-3.9
-15.5,-41.4,10.6,12.6,19.9,-2.0,-15.9
-4.4,-3.2,-2.5,-2.0,-1.7,-1.5,-1.3
0.0,-4.0,-4.86,-8.1,-6.5,-5.4,-0.3
-3.9,-8.9,-13.9,-11.2,-4.0,-9.2,-8.0
-1.1,-5.8,3.5,-1.3,-0.4,-0.3,-0.3
35.4,-14.7,3.0,-2.4,-3.0,1.4,0.9
-1.1,-2.1,-2.6,-2.0799999999999996,-3.4,-1.7,-0.6
1.3,3.2,-0.8,-2.9,-0.8,-2.8,-0.3
-34.1,-28.2,37.8,-3.3,9.9,1.2,-1.0
-27.1,-15.4,-23.0,-16.9,-13.4,-9.2,-7.7
